Date,Open,High,Low,Close,Volume
17-05-2017,1216.75,1230.380005,1211.5,1227.680054,2876198
18-05-2017,1225,1286,1221.119995,1268.099976,5138594
19-05-2017,1268.099976,1270.280029,1243,1253.569946,1786044
22-05-2017,1255,1276.880005,1255,1265.680054,1663940
23-05-2017,1266.599976,1282.069946,1257,1260.849976,2748596
24-05-2017,1267.400024,1285,1264.819946,1279.569946,2534548
25-05-2017,1288.5,1318.780029,1284,1312.300049,4094094
26-05-2017,1312.5,1313.430054,1282.319946,1289.119995,1362550
29-05-2017,1289.5,1298.25,1282,1286.430054,1749290
30-05-2017,1280,1287.969971,1262.5,1275.550049,927634
31-05-2017,1266.5,1286.25,1264,1273.300049,2502730
01-06-2017,1265,1282,1265,1276.800049,1080064
02-06-2017,1278.119995,1295.930054,1276.25,1282.449951,1355648
05-06-2017,1282.5,1309.949951,1280.069946,1301.969971,1500188
06-06-2017,1315.5,1354.469971,1315,1348,5946720
07-06-2017,1348.5,1350,1288.280029,1307.619995,4927776
08-06-2017,1299,1302.469971,1257.75,1260.800049,3330714
09-06-2017,1260,1273.699951,1243,1253.5,3148034
12-06-2017,1248.5,1256.449951,1235.199951,1243.599976,1626506
13-06-2017,1232.5,1240.550049,1223.5,1225.780029,1175414
14-06-2017,1227.5,1238,1227.5,1235.099976,1489142
15-06-2017,1234.5,1234.849976,1202.5,1205.599976,2997198
16-06-2017,1207.469971,1217.5,1193.25,1199.849976,2450426
19-06-2017,1208.449951,1223.180054,1202.569946,1215.849976,1644742
20-06-2017,1215.5,1224.5,1190.150024,1222.5,1670958
21-06-2017,1220,1221.069946,1198.599976,1203.150024,1657818
22-06-2017,1204.5,1215.5,1192.5,1197.430054,5775882
23-06-2017,1199.699951,1206.969971,1177,1180.849976,1424756
27-06-2017,1175.300049,1192.349976,1165.800049,1171.430054,1974330
28-06-2017,1174.949951,1179,1167.5,1175.030029,1789726
29-06-2017,1179.5,1186.030029,1161.550049,1166.619995,2471826
30-06-2017,1162.199951,1188.5,1161.550049,1181.180054,1753848
03-07-2017,1178.699951,1191.530029,1171.550049,1186.800049,1475956
04-07-2017,1186.650024,1190.219971,1175.030029,1183.430054,1215134
05-07-2017,1180.400024,1182.5,1172.5,1178,815856
06-07-2017,1179.5,1180.949951,1170.050049,1173.780029,1026788
07-07-2017,1175,1178.219971,1162.75,1165.969971,1232090
10-07-2017,1203,1222.449951,1189.469971,1217.469971,783608
11-07-2017,1213,1257.400024,1213,1237.900024,3537504
12-07-2017,1241.25,1241.650024,1215.050049,1219.719971,2646450
